127.0.0.1, 2014-07-15 10:17:48, GET, /, HTTP/1.1, 303, 0.005834
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.417109
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000948
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002366
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002624
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001289
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002085
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001058
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000958
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002215
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001193
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000897
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003086
127.0.0.1, 2014-07-15 10:17:48, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000419
127.0.0.1, 2014-07-15 10:17:49, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.000451
127.0.0.1, 2014-07-15 10:17:49, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000380
127.0.0.1, 2014-07-15 10:17:49, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000635
127.0.0.1, 2014-07-15 10:17:49, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000435
127.0.0.1, 2014-07-15 10:21:56, GET, /, HTTP/1.1, 303, 0.000678
127.0.0.1, 2014-07-15 10:21:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.059521
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/default/index, HTTP/1.1, 200, 0.024496
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.001229
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/css/web2py.css, HTTP/1.1, 304, 0.001027
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.004102
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.003090
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.002774
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.003296
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002453
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000672
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.001641
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000677
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.001340
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002771
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000687
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.001349
127.0.0.1, 2014-07-15 10:22:47, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000880
127.0.0.1, 2014-07-15 10:22:53, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.218822
127.0.0.1, 2014-07-15 10:22:53, GET, /admin/default/index, HTTP/1.1, 200, 0.083694
127.0.0.1, 2014-07-15 10:22:54, GET, /admin/static/_2.9.5/js/web2py.js, HTTP/1.1, 200, 0.000927
127.0.0.1, 2014-07-15 10:22:54, GET, /admin/static/_2.9.5/js/jquery.js, HTTP/1.1, 200, 0.003067
127.0.0.1, 2014-07-15 10:22:54, GET, /admin/static/_2.9.5/css/calendar.css, HTTP/1.1, 200, 0.002973
127.0.0.1, 2014-07-15 10:22:54, GET, /admin/static/_2.9.5/js/calendar.js, HTTP/1.1, 200, 0.001866
127.0.0.1, 2014-07-15 10:22:54, GET, /admin/static/_2.9.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001260
